[2024-01-26 20:24:41,789] root -INFO -Data Ingestion started
[2024-01-26 20:24:42,357] root -INFO -Splitting Data into train and test data
[2024-01-26 20:24:42,370] root -INFO -Adding training data into csv file
[2024-01-26 20:24:42,803] root -INFO -Adding testing data into csv file
[2024-01-26 20:24:43,238] root -INFO -Data ingestion completed
[2024-01-26 20:24:43,243] root -INFO -Initiated Data Transformation
[2024-01-26 20:24:43,535] root -INFO -Transforming data
[2024-01-26 20:24:43,535] root -INFO -********************Feature Engineering Started*******************
[2024-01-26 20:24:45,823] root -INFO -Transformation Pipeline Initiated
[2024-01-26 20:24:45,823] root -INFO -Pipeline completed
[2024-01-26 20:24:48,186] root -INFO -We are able to transform data successfully
