[2024-01-26 21:04:44,120] root -INFO -Data Ingestion started
[2024-01-26 21:04:46,088] root -INFO -Splitting Data into train and test data
[2024-01-26 21:04:46,107] root -INFO -Adding training data into csv file
[2024-01-26 21:04:47,790] root -INFO -Adding testing data into csv file
[2024-01-26 21:04:49,471] root -INFO -Data ingestion completed
[2024-01-26 21:04:49,475] root -INFO -Initiated Data Transformation
[2024-01-26 21:04:49,773] root -INFO -Transforming data
[2024-01-26 21:04:49,773] root -INFO -********************Feature Engineering Started*******************
[2024-01-26 21:04:51,266] root -INFO -Transformation Pipeline Initiated
[2024-01-26 21:04:51,266] root -INFO -Pipeline completed
[2024-01-26 21:05:02,205] root -INFO -We are able to transform data successfully
[2024-01-26 21:05:02,209] root -INFO -Model training started
