[2024-01-26 21:09:07,865] root -INFO -Data Ingestion started
[2024-01-26 21:09:09,699] root -INFO -Splitting Data into train and test data
[2024-01-26 21:09:09,722] root -INFO -Adding training data into csv file
[2024-01-26 21:09:11,409] root -INFO -Adding testing data into csv file
[2024-01-26 21:09:13,140] root -INFO -Data ingestion completed
[2024-01-26 21:09:13,144] root -INFO -Initiated Data Transformation
[2024-01-26 21:09:13,518] root -INFO -Transforming data
[2024-01-26 21:09:13,519] root -INFO -********************Feature Engineering Started*******************
[2024-01-26 21:09:14,915] root -INFO -Transformation Pipeline Initiated
[2024-01-26 21:09:14,916] root -INFO -Pipeline completed
[2024-01-26 21:09:24,754] root -INFO -We are able to transform data successfully
[2024-01-26 21:09:24,757] root -INFO -Model training started
