[2024-01-26 20:30:02,962] root -INFO -Data Ingestion started
[2024-01-26 20:30:03,539] root -INFO -Splitting Data into train and test data
[2024-01-26 20:30:03,554] root -INFO -Adding training data into csv file
[2024-01-26 20:30:03,992] root -INFO -Adding testing data into csv file
[2024-01-26 20:30:04,512] root -INFO -Data ingestion completed
[2024-01-26 20:30:04,516] root -INFO -Initiated Data Transformation
[2024-01-26 20:30:04,796] root -INFO -Transforming data
[2024-01-26 20:30:04,796] root -INFO -********************Feature Engineering Started*******************
[2024-01-26 20:30:06,239] root -INFO -Transformation Pipeline Initiated
[2024-01-26 20:30:06,239] root -INFO -Pipeline completed
[2024-01-26 20:30:08,187] root -INFO -We are able to transform data successfully
